id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1, stating that the initial response time is 15 minutes and the resolution time is 4 hours, which is consistent with the provided context.",5,"Answer provides a direct and complete response to the question about the SLA for P1 tickets, including specific timeframes for both resolution and initial response.",5,Retrieved: 1/1 expected sources,5,"The actual answer covers all key points from the expected answer, including the initial response time of 15 minutes and the resolution time of 4 hours. It is complete and accurately reflects the information provided in the expected answer.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the context regarding the timeframe for customers to request a refund, which is within 7 working days from the order confirmation.",5,"Answer directly addresses the question by specifying the timeframe for requesting a refund, which is 7 working days from the order confirmation.",5,Retrieved: 1/1 expected sources,3,"LLM parsing error for completeness: Error code: 400 - {'error': {'message': ""We could not parse the JSON body of your request. (HINT: This likely means you aren't using your HTTP library correctly. The OpenAI API expects a JSON payload, but what was sent was not valid JSON. If you have trouble figuring out how to fix this, please contact us through our help center at help.openai.com.)"", 'type': 'invalid_request_error', 'param': None, 'code': None}}",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirements for granting Level 3 access, which includes the necessary approvals from Line Manager, IT Admin, and IT Security as stated in the provided context.",5,"Câu trả lời đã cung cấp thông tin đầy đủ về những ai cần phê duyệt để cấp quyền Level 3, bao gồm Line Manager, IT Admin và IT Security.",5,Retrieved: 1/1 expected sources,5,"The actual answer covers all key points mentioned in the expected answer, including the requirement for approval from Line Manager, IT Admin, and IT Security for Level 3 access.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer accurately reflects the information provided in the context regarding the non-refundable status of digital products, except in cases of manufacturer defects and meeting other conditions.",4,"Câu trả lời cung cấp thông tin về chính sách hoàn tiền cho sản phẩm kỹ thuật số, nhưng không nêu rõ các điều kiện cụ thể mà người dùng cần biết. Do đó, câu trả lời chưa hoàn toàn đầy đủ.",5,Retrieved: 1/1 expected sources,3,"The actual answer states that digital products are generally non-refundable but includes an exception for manufacturer errors, which is not mentioned in the expected answer. This introduces additional information but does not fully align with the expected answer's clear statement about the non-refundability of digital products. Key points are partially covered.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the retrieved chunks regarding the account being locked after 5 consecutive failed login attempts and the options available for unlocking it.,5,"Câu trả lời cung cấp thông tin chính xác về số lần đăng nhập sai cần thiết để khóa tài khoản và hướng dẫn cách mở khóa, đáp ứng đầy đủ yêu cầu của câu hỏi.",5,Retrieved: 1/1 expected sources,5,"The actual answer fully addresses the query by stating that the account is locked after 5 consecutive failed login attempts. Additionally, it provides extra information on how to unlock the account, which enhances the completeness of the response.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút kể từ khi ticket được tạo [2].,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the provided context, stating that escalation occurs automatically to a Senior Engineer if there is no response within 10 minutes of ticket creation.",4,"Câu trả lời cung cấp thông tin cụ thể về quy trình escalation trong sự cố P1, nhưng có thể bổ sung thêm chi tiết về các bước tiếp theo hoặc vai trò của Senior Engineer để hoàn thiện hơn.",5,Retrieved: 1/1 expected sources,5,The actual answer fully covers the key point regarding the automatic escalation of P1 tickets to a Senior Engineer if there is no response within 10 minutes of ticket creation. It matches the expected answer in both content and clarity.,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the content of the retrieved chunks, specifically stating that the Approval Matrix is a document that regulates the access permission process for internal systems, which is consistent with the provided information.",5,Answer directly addresses the query by explaining what an Approval Matrix is and its purpose in the context of granting access rights to internal systems.,5,Retrieved: 1/1 expected sources,3,The actual answer provides a general description of the Approval Matrix but does not mention the current name change to 'Access Control SOP' or the specific document reference (access-control-sop.md). Key points about the name and document reference are missing.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the context regarding remote work conditions, including the maximum number of remote days and the requirement for Team Lead approval through the HR Portal.",5,Answer directly addresses the query by specifying the maximum number of remote days allowed per week and includes additional relevant information about the probation period and the approval process.,5,Retrieved: 1/1 expected sources,5,"The actual answer covers all key points from the expected answer, including the maximum number of remote days (2 days/week), the condition of completing the probation period, and the requirement for Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,"The answer 'Tôi không biết' does not provide any information relevant to the context provided. It does not address any of the details about the ticket system, IAM system, audit log, or any other specific information mentioned. Therefore, it is not grounded in the context.",1,"Câu trả lời không cung cấp thông tin về lỗi ERR-403-AUTH và cách xử lý, chỉ đơn giản là nói 'Tôi không biết'.",,No expected sources,1,The actual answer does not provide any information about ERR-403-AUTH or how to handle it. It lacks key points such as the potential relation to authentication and the suggestion to contact IT Helpdesk.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin cụ thể về quy trình hoàn tiền khẩn cấp cho khách hàng VIP trong bối cảnh đã cung cấp. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",2,"The answer states that there is no specific information about the emergency refund process for VIP customers, which is not entirely accurate. While the provided context does not explicitly mention a VIP customer refund process, it does outline a general refund request process. Therefore, the answer lacks completeness and does not fully acknowledge the existing refund procedure.",2,"Câu trả lời không trực tiếp trả lời câu hỏi về quy trình hoàn tiền khẩn cấp cho khách hàng VIP, nhưng cũng không hoàn toàn không liên quan. Nó chỉ ra rằng không có thông tin cụ thể, nhưng thiếu sự giải thích hoặc thông tin bổ sung có thể hữu ích.",5,Retrieved: 1/1 expected sources,2,"The actual answer acknowledges the lack of specific information regarding the refund process for VIP customers, but it fails to mention that the existing policy does not provide a special process for them, which is a key point in the expected answer. Therefore, it is incomplete.",baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc khắc phục sau phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1, stating that the resolution time is 4 hours after the initial response time of 15 minutes, which is consistent with the provided context.",5,Answer provides a direct and complete response to the question about the SLA for P1 ticket processing time.,5,Retrieved: 1/1 expected sources,5,"The actual answer covers all key points from the expected answer, including the initial response time of 15 minutes and the resolution time of 4 hours. It also clarifies that the 4-hour resolution time starts after the initial response, which aligns with the expected information.",variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund, which is within 7 working days from the order confirmation.",5,"Answer directly addresses the query by specifying the timeframe for requesting a refund, which is 7 working days from the order confirmation.",5,Retrieved: 1/1 expected sources,5,"The actual answer fully covers all key points mentioned in the expected answer, including the time frame of 7 working days and the reference to the order confirmation. Therefore, it is complete.",variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirements for granting Level 3 access, which includes the necessary approvals from the Line Manager, IT Admin, and IT Security as stated in the provided context.",5,"Answer directly addresses the question by specifying the required approvers for Level 3 access, providing a complete and relevant response.",5,Retrieved: 1/1 expected sources,5,"The actual answer covers all key points mentioned in the expected answer, including the requirement for approval from Line Manager, IT Admin, and IT Security for Level 3 access.",variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer accurately states that digital products are not refundable unless there is a manufacturer defect and other conditions are met. However, it does not explicitly mention the 7-day requirement for requesting a refund, which is a key detail in the provided context.",4,"Câu trả lời cung cấp thông tin về chính sách hoàn tiền cho sản phẩm kỹ thuật số, nhưng không nêu rõ các điều kiện cụ thể mà người tiêu dùng cần biết. Do đó, câu trả lời chưa hoàn toàn đầy đủ.",5,Retrieved: 1/1 expected sources,3,"The actual answer states that digital products are generally non-refundable but allows for exceptions in case of manufacturer errors. However, it does not explicitly mention that digital products are an exception to the refund policy, as stated in the expected answer. Therefore, while some key points are covered, it lacks completeness regarding the specific policy details.",variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer accurately reflects the information provided in the context, stating that the account is locked after 5 consecutive failed login attempts.",5,Answer provides a direct and complete response to the question about the number of failed login attempts before an account is locked.,5,Retrieved: 1/1 expected sources,5,"The actual answer fully matches the expected answer, covering all key points without any omissions.",variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo quy trình khẩn cấp, trong đó On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động, và mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the provided context. It includes the details about the On-call IT Admin's ability to grant temporary permissions, the requirement for Tech Lead approval, the 24-hour limit, the need for a formal ticket afterward, and the logging of temporary permissions in the Security Audit system.",5,"Answer directly addresses the query about the escalation process for P1 incidents, providing detailed information about the roles, time limits, and logging requirements.",5,Retrieved: 1/1 expected sources,2,"The actual answer provides a detailed escalation process involving On-call IT Admin and Tech Lead approval, but it does not address the specific point about the automatic escalation of P1 tickets to Senior Engineer if there is no response within 10 minutes, which is a key aspect of the expected answer.",variant_hybrid
